 (-4.635724427456513E-002,-2.897280872732122E-003)
 (-8.348696251491537E-005,6.532520498168212E-006)
 (1.422399810402052E-002,-7.118922950345155E-002)
 (-4.439631885175514E-003,2.221567462021608E-002)
 (-3.060231910891862E-005,9.672368914024163E-005)
 (1.79524236575135,-0.680296394670150)
 (3.10982112640445,-1.17844873997438)
 (8.59738381080676,-3.25792219878237)
 (-6.572405196581111E-003,1.707531082373397E-002)
 (1.418477473689231E-002,-3.685405123875420E-002)
 (-3.241421033293816E-006,3.316465165522599E-005)
 (-1.358950448426364E-003,-3.944292260903103E-002)
 (-6.326147041628358E-004,-1.828628576313267E-002)
 (-2.041033166129719E-005,2.036092308563619E-006)
 (-3.629007434949250E-002,-1.133350234063736E-003)
 (-6.280187039807474E-002,-1.960952323877001E-003)
 (3.42679741971832,0.106968427250145)
 (2.442542966272175E-002,3.596815734736564E-002)
 (-1.404983380857666E-002,-2.069315052621409E-002)
 (2.97018647788432,4.37240384820486)
 (1.17238826225512,0.685655015649043)
 (-0.676776832342988,-0.395743688532328)
 (-0.925588065557683,-0.541169420533454)
 (-0.191215966815454,-9.194955281659792E-002)
 (-0.219986023992402,-0.199021186932516)
 (1.006894308780791E-004,4.132110842155160E-005)
 (-0.720651319861453,-0.608389817656536)
 (0.416079141218157,0.351264904855293)
 (-13.1857071162295,-11.1316127418459)
 (2.020471215689289E-002,-0.110205176494479)
 (3.498748499819838E-002,-0.190811282565585)
 (1.70705069162676,-9.30994692006780)
 (-2.536373560547256E-002,-8.232450738439259E-002)
 (3.502483506417821E-002,0.113676947521725)
 (1.699752709363142E-005,4.366047565947027E-005)
 (-9.989043595441968E-002,-0.147367469635752)
 (2.871989873887686E-002,4.237269575162336E-002)
 (8.826350927164738E-006,1.597882301309272E-005)
 (-1.48114680733397,1.51037119687780)
 (0.855361561214592,-0.872239981889153)
 (0.229969017674112,-0.234507215826272)
 (8.97652110584422,5.165630329179163E-017)
 (15.5475018502364,6.180882581124947E-018)
 (44.0433154521591,3.656175535766526E-017)
 (-0.248033542070061,7.325781638721388E-002)
 (0.445258724292680,-0.131483333204896)
 (-1.644398795368588E-005,1.121639406770240E-005)
 (-0.382954318481993,0.262533402820997)
 (-0.213331679398260,0.146233763091379)
 (-2.476836699402565E-005,2.175850308542035E-005)
 (-5.442887208286876E-002,-0.247115731951610)
 (6.392978300322179E-002,0.290250236970958)
 (3.836224128547227E-006,-6.614593813839932E-006)
 (2.907768154925212E-002,-0.400282449160703)
 (-6.531424454956680E-003,8.991481180985404E-002)
 (1.110903573086367E-006,-2.463273565121760E-005)
 (-2.297676537131545E-003,0.105175157415814)
 (1.002200693221041E-002,-0.458574106795284)
 (-7.958607197381419E-006,3.615163798199258E-006)
 (-6.272045949981638E-002,0.454379653954475)
 (-1.438563790867204E-002,0.104212850084393)
 (-4.338701892517122E-006,-5.514909705446957E-006)
 (1.29862126370524,1.982306469767158E-002)
 (2.24898202556619,3.432776442523332E-002)
 (6.56897663851600,0.100265642176355)
 (-0.223685036518392,0.201326772996237)
 (0.458807479219468,-0.412866789795805)
 (-2.995500657632117E-005,-4.301513847550771E-007)
 (-0.347487328463073,-0.510106644244122)
 (-0.169405028914227,-0.248745142381179)
 (-2.022413991944611E-006,-2.316496803799330E-005)
 (-2.13189006739892,4.85971537896197)
 (1.23078181609878,-2.80561315138491)
 (-3.571298913170640E-002,8.140221765472376E-002)
 (9.227177044244609E-003,2.023231392915710E-002)
 (-1.332456803310300E-002,-2.922709733380727E-002)
 (2.113976115714840E-005,5.684780174366325E-005)
 (3.638251506621248E-002,3.330290748151361E-002)
 (-1.097345685028082E-002,-1.004473839983531E-002)
 (3.329882376519772E-005,4.040897626142121E-005)
 (-0.500282782346576,0.479275323793413)
 (0.288847058294568,-0.276713799019829)
 (-8.61211510450027,8.25059843139194)
 (0.948306760639137,0.171540997637171)
 (1.64256647969898,0.297073255938264)
 (1.11209458077664,0.201043112698606)
 (2.19423493697348,-0.597815250921130)
 (3.80058814671948,-1.03547096198192)
 (9.02165532586385,-2.45851365701779)
 (-0.897335227758521,0.154643792890609)
 (0.490636694398543,-2.979967255181203E-002)
 (1.010425439668574E-002,2.930479562702945E-003)
 (0.136154592960359,0.206648594978450)
 (-0.227804669319116,-0.345790570674605)
 (-6.132699354179576E-006,-9.702101200849326E-006)
 (0.390218013746319,-0.770993735721314)
